Quarter,Minute,Second,Down,ToGo,YardLine,Outcome
2,0,28,2,10,51,0
2,0,36,1,10,51,2
2,1,14,4,10,63,2
2,1,20,3,10,63,2
2,1,26,2,10,63,1
2,1,30,1,10,63,1
2,1,35,1,10,52,1
2,3,14,0,0,85,0
2,3,20,3,2,84,2
2,4,3,2,7,79,0
2,4,39,1,10,76,0
2,4,47,2,9,55,1
2,5,29,1,10,54,0
2,9,59,0,0,85,0
2,10,4,2,10,88,1
3,7,37,3,5,79,1
3,8,18,2,10,74,1
3,8,23,1,10,74,2
3,9,7,3,2,71,0
3,9,51,2,6,67,1
2,12,59,1,10,80,0
2,13,35,2,8,57,0
2,14,20,1,10,55,0
1,7,8,4,7,73,0
1,7,14,3,7,73,2
4,13,37,2,8,91,1
4,14,12,1,10,89,0
4,15,0,2,8,59,2
3,0,14,1,10,57,1
3,2,23,1,10,89,1
3,2,33,4,6,84,1
3,3,17,3,6,84,1
3,9,45,0,0,98,0
3,9,50,1,5,95,1
3,10,30,1,10,85,1
3,11,16,2,7,74,1
3,11,56,1,10,71,0
3,12,33,1,10,55,2
2,0,2,4,15,74,0
4,0,28,4,7,61,0
4,1,14,3,10,58,0
4,1,59,2,10,58,0
4,2,3,1,10,58,0
4,2,4,0,0,85,0
4,2,10,2,10,89,1
4,2,15,1,10,89,1
4,2,22,1,10,70,1
4,2,38,1,10,58,1
4,3,31,4,11,89,0
4,3,31,4,6,94,0
4,3,39,3,6,94,1
4,3,45,2,6,94,0
4,3,49,1,7,93,0
4,3,56,2,1,92,0
4,4,40,1,10,83,0
4,5,27,2,7,58,1
4,6,8,1,10,55,0
1,7,43,1,10,70,0
1,7,51,2,8,65,1
1,8,29,1,10,63,0
1,9,35,2,7,80,2
1,10,12,1,10,77,0
1,10,42,3,5,70,1
1,11,26,2,7,68,1
1,12,3,1,10,65,0
1,12,35,1,10,55,1
4,0,15,2,18,66,2
4,0,39,1,10,74,0
4,0,44,3,7,66,1
4,0,49,2,7,66,2
4,1,1,2,2,71,0
4,1,22,1,10,63,1
4,2,0,4,7,77,2
4,2,19,3,20,64,1
4,2,59,2,15,69,0
4,3,4,1,15,69,1
4,7,55,0,0,85,0
4,8,0,3,9,86,1
4,8,4,2,9,86,1
